data_aniversário,autoriza_postagem_niver,idade,escolaridade,bairro_cidade,raca_etnia,genero,orientacao_sexual,tem_filhos,area_ti_ou_trasicao_carreira,situacao_profissional,profissionalmente_ativa,profissao_atual,renda_mensal,trabalha_estuda_com_tecnologia,programa_python,quanto_tempo_programa_python,tem_interesse_aprender,seu_nivel_python,ja_trabalhou_qual_segmento,ja_trabalhou_outras_tecnologias,como_conheceu_pyladies,ja_participou_evento,o_que_espera_comunidade,como_voce_pode_ajudar_comunidade,frequencia_participa_evento,quais_eventos_mais_gosta,qual_area_desperta_mais_interesse,ministrar_palestra_cursos,sobre_quais_assuntos,o_que_poderia_desperar_interesse_para_interagir_participar_mais,gostaria_participar_do_programa_mentoria,faz_parte_de_outra_comunidade,tem_experiencia_organizacao_evento,interesses,dificuldades_mulheres_na_ti,tipo_apoio_voce_espera_da_comunidade,prefere_trabalhar_em_projetos_individuais_ou_equipes,autoriza_autorizacao_manter_info,autorizacao_imagem,email_hash,nome_hash,contato_hash
29/03/2000,Sim,Entre 18 e 24 anos,Graduação - cursando,Bairro Ellery,Branca,Cisgênera,Bissexual,Não,"Não. Eu era da Gastronomia, hoje estou migrando para dev",Funcionária de empresa privada (CLT/PJ),Estou buscando ativamente novo emprego/estágio/etc.,Costumer Sucess,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Não,Não se aplica,Sim,Júnior,Não se aplica,Node.Js,"Redes Sociais (Instagram, Facebook e etc);Indicação de amiga(o)",Não,ESPERO MUITO NETWORKING E APRENDER NOVAS TECNOLOGIAS,POSSO TRABALHAR PROGRAMANDO E PODEM CONTAR COMIGO EM EVENTOS,1 evento por ano,Workshops;Palestras,Análise/Visualização de Dados;Desenvolvimento Web,Não,—-,Projetos com desenvolvimento web,"Sim, como mentora",Não,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar)",MACHISMO SER A UNICA MULHER DO TIME E DIFICULDADE EM CONSEGUIR INFORMACAO,NETWORKING,Equipe. Gosto de trabalhar em grupo :),"Sim, autorizo!","Sim, autorizo!",964c008384d070517a5342665d00078bc02187d59fc286d605012bbd419552b0,a2593cf0a89245d893e21c4490203bd77a9710e5e78d0ce031feee63c4ffd801,c40436f3d588c9b35e94b68ce18049ca264ed1f215036efef48af60f799699d9
30/10,Sim,Entre 25 e 30 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - cursando,FORTALEZA/JACARECANGA,Parda,Cisgênera,Lésbica,Não,ADMINISTRATIVO,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",ANALISTA DE DADOS,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Sim,menos de 1 ano,Sim,Júnior,Análise/Visualização de Dados;Big Data;Data Science;Web scrapping,nula,"Redes Sociais (Instagram, Facebook e etc)",Não,NULA,NULA,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning;Segurança;Testes;Web scrapping,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",nula,nula,"Sim, como mentorada",NÃO,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🍳 (culinária, para quem gosta de cozinhar);🧘‍♀️ (bem-estar, para práticas como yoga)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",20043c88b27e9286ae11eebe38c9a8a9c4b8b73b689c97f4afded766432df05f,cafc2bd1a5c8f89e360323902f79173699198afa3d2512ceb224f57ab6971287,cefd34061aaf499031df31cbdee094f2e201c35df39747516b7b36d88168150f
25/04,Sim,Entre 25 e 30 anos,Graduação - concluído,PALHANO/CENTRO,Branca,Cisgênera,Bissexual,Não,"Sou da área de TI, parte de backend.",Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,Engenheira de Software/ Engenheira de Dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Sim,1 ano a 2 anos,Sim,Júnior,Desenvolvimento Web,PostgreSQL,"Redes Sociais (Instagram, Facebook e etc)",Não,ESPERO PODER CONTRIBUIR AO CRESCIMENTO DO PUBLICO FEMININO NA AREA DE TI E TAMBEM APRENDER JUNTO COM A COMUNIDADE,NULA,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Machine Learning,Talvez,nula,nula,"Sim, como mentora e mentorada",Não.,Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",A INSEGURANCA,NULA,"Em equipe, porque além de ser mais rápido da pra aprender bastante.","Sim, autorizo!","Sim, autorizo!",a1e9b54e6387a2ce33f336e1a2533a8a3a5bc9fae30e7647775fdf7bcd3b119c,5d6995f8b9622d75c79fd5751dd23a854b98fd80a07cd67380bf04cb41bc23e7,ff2a4ed6dadf5b8a5aa107fe85ba3ab2c7068b3d01034278e73542700ae54184
11.01.1998,Sim,Entre 25 e 30 anos,Graduação - cursando,FORTALEZA/JACARECANGA ,Branca,Cisgênera,Prefiro não informar,Sim e compartilho a responsabilidade sobre eles com outras pessoas,"não, estou começando agora e pretendo usar a tecnologia na parte de administração e finanças ",Voluntária em ONG ou outra organização,Não se aplica,nula,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,Não,Não se aplica,Sim,Não se aplica,Não se aplica,nula,"Redes Sociais (Instagram, Facebook e etc);Evento","Sim, como participante",NULA,NULA,nula,Workshops;Palestras,Análise/Visualização de Dados;Big Data,Não,nula,nula,"Sim, como mentorada",não ,Sim,"🎮 (jogos, para quem curte videogames)",NULA,NULA,"ambos, pra determinadas ações as vezes é bom em grupo e em outras individual.","Sim, autorizo!","Sim, autorizo!",b3c7bbbbf7bc7ccd7d42e60df36ac9e3b63b4e2b3c50f588e82207845ee595c1,a5367c5a1971f4f4aa52c9cd8b2b56f436d48e9a78db2820114aa683f6aba056,95e1ab7496a8dc490df939db26d1e1450a0ba280ff313f28d76fae89bee52da6
18/09,Sim,Entre 18 e 24 anos,Graduação - cursando,CAUCAIA/TABAPUÁ,Parda,Prefiro não informar,Bissexual,Não,"Eu iniciei uma graduação de licenciatura em Ciência Políticas, mas acabei trocando de área de interesse e fui cursar Engenharia de Software na UFC.","Trabalho e estou buscando emprego, porque nunca é demais",Estou buscando ativamente novo emprego/estágio/etc.,Cientista de Dados,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,Sim,menos de 1 ano,Não se aplica,Júnior,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Machine Learning;Web scrapping,nula,não lembro,Não,NULA,NULA,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,todas,Sim,nula,nula,"Sim, como mentorada",não,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🧘‍♀️ (bem-estar, para práticas como yoga)",NULA,NULA,nula,"Sim, autorizo!","Não, obrigada!",c6367083c8c8c523e937cc81e2b793e801dba577bc98632264c52671f38d7dd8,93a9f3c542a8e4bbf6a9375caec62c8e1f212069cf572d9b7cb1e715baa0194c,da26bc05198ecd01acf182ef4affb7a007d6be1e9916822319da697465e4f036
28/12/1999,Não,Entre 25 e 30 anos,Graduação - cursando,messejana,Parda,Cisgênera,Bissexual,Não,sim,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,nula,Menos de 1 salário mínino ( < 1.412),Mais de 4 anos,Sim,menos de 1 ano,Sim,Júnior,Não se aplica,nula,Indicação de amiga(o),"Sim, como participante",COMUNICACAO E AJUDA MUTUA,NULA,1 evento por ano,Atividades lúdicas e recreativas,Data Science;Testes,Não,nula,nula,Talvez,Não,Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🎮 (jogos, para quem curte videogames)",TIMIDEZ,NULA,Individual. Sou tímida.,"Sim, autorizo!","Sim, autorizo!",6aa0c507e62991d0351f75c7edf9c2a7114acbe75ea39323c8b2d9abc96a4798,ee4c397ad3cb442025183fd38e22ad3885b4522dd39c0b824eba985075a76876,defdb62ed40a176750b0f0dd01dbd0807e63c5b135b6d7d43424feff3972c0af
06/10/1994,Não,Entre 25 e 30 anos,Graduação - cursando,Fortaleza/Canindezinho ,Branca,Cisgênera,Heterossexual,Não,Física ,Estagiária,Estou buscando ativamente novo emprego/estágio/etc.,Cientista de dados,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,Sim,Mais de 4 anos,Sim,Júnior,Análise/Visualização de Dados,nula,"Redes Sociais (Instagram, Facebook e etc)",Não,NULA,NULA,1 evento por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science,Não,nula,nula,"Sim, como mentorada",Não ,Não,"📚 (livros, representando interesses em leitura)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",2a34d42fb4c9aed89c65c486a5ae1c4bde7ecca59714779c69d9f4e5e04eb347,67c311ca83d0bc112c1865d2e7c99a15fa8e461b38a66b752a48e836fbff0375,55883daccdc56d67affd882cc91c2b51d089b133c7ee5ee120c455b7b2845137
05/11/1988,Sim,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - incompleto,Fortaleza/Montese,Branca,Cisgênera,Heterossexual,Não,Sempre de TI,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Analista de testes,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Mais de 4 anos,Não,Não se aplica,Talvez,Não se aplica,Não se aplica,C# e Js,Indicação de amiga(o),Não,REDE DE APOIO APRENDIZADOS E CONEXOES,PARTICIPANDO DOS EVENTOS,nula,Atividades lúdicas e recreativas;Workshops;Palestras,Machine Learning;Segurança;Testes,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",Testes de Software,Gosto muito do apoio a outras mulheres que temos no grupo do wattzap!Acho poderoso e importante!,"Sim, como mentora","Sim, GDG Fortaleza",Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",MACHISMO,UMA COMUNIDADE ATIVA QUE CONVERSA E SE APOIA,"Em equipe, equipe o resultado é sempre melhor!","Sim, autorizo!","Sim, autorizo!",18260cfe8122acdf33714da34df05abc8f9297c2a06eb3d65825affda12af447,2d7cc6258f7d58ccf00ca01a41cbbc681a1895a7010595fa882cd217c2204a60,da9924bbaa0109ca5bcab3f6e95475b429a573fb4f95f2c86547699770f42b58
20/06/2006,Sim,Entre 18 e 24 anos,Ensino Médio/Técnico (cursando ou concluído),FORTALEZA/JOAQUIM TÁVORA,Parda,Cisgênera,Heterossexual,Não,"Sim, ja tive outros interesses, mas entrei no Técnico de Informática com 16 anos.",Estudante,Não se aplica,"Estou descobrindo, pois ainda estou finalizando o ensino médio.",Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Sim,1 ano a 2 anos,Sim,Júnior,Desenvolvimento Web,"Desenvolvimento Web, gestão de projetos de T.I, desenvolvimento IOS.","Redes Sociais (Instagram, Facebook e etc);Indicação de amiga(o)","Sim, como participante",UM LUGAR PARA CONHECER MULHERES DA AREA,DANDO INDICACOES PARA AS PESSOAS DE COISAS CURSOS PALESTRAS,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,IoT;Machine Learning;Segurança;Nenhuma mencionada acima,Não,nula,"Atividades esportivas, tem o grupo, mas nunca marcaram, enquanto eu estava lá.","Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",NULA,ENVIAR MAIS VAGAS DE EMPREGO E ESTAGIO SERIA INTERESSANTE,"Em equipe, mas com uma boa equipe, porque é mais fácil para dividir as funções, desenvolvendo um bom projeto e completo.","Sim, autorizo!","Sim, autorizo!",6bc48d0f895ed453b2915d5d216da28fcfe7779aed8867c965041c470ba06000,4e87bae0a1c26aed908204402ca48fa95f045e68e4cbd9365010660a0a12d686,117f78238a959fe082d13823ab852e85316ab4bf5928a8da852a4af62cf1df5f
02/06,Sim,Entre 25 e 30 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - cursando,FORTALEZA / COCÓ,Branca,Cisgênera,Bissexual,Não,"Formada e atuando com Design, mas focado em marketing",Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,UX/UI Designer,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Não,Não se aplica,Não,Não se aplica,Não se aplica,nula,Evento,"Sim, como palestrante/ministrante de curso/etc.;Sim, como participante",UM AMBIENTE DE TROCA DA TECNOLOGIA,POSSO PARTICIPAR E FAZER WORKSHOPS PALESTRAS,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;UX Design,Sim,UX Design / Acessibilidade / Processos de discovery e requisitos ,-,"Sim, como mentora e mentorada",Front End Ce e UXFor,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",FALTA DE PERCEPCAO DE OUTRAS PESSOAS COMO ESPECIALISTA NA AREA MANSPLANING,MENTORIA DE CARREIRA QUEM E MAIS SENIOR PODE AJUDAR,Equipe. Gosto da troca e divisão de responsabilidade ,"Sim, autorizo!","Sim, autorizo!",d4f6e355b84a534d7d875cf4bd6a2a5fe3e46c6ae4a2a91f0944fd0f7f06aa3d,7c6ab33f5f318c5ee78a48fc3669ae201fac03b4b294689fb8d8b1b9b4fe1e0c,41058c6e12bc1d64d20298f00066f25ffa33988511691a75533a9b9d37504a38
